celltypes,traits,Escore,pEscore,trait category,tissue
Hepatocytes (0.7%),TotalProtein,1.98,0.00183,urine biomarker,liver
Smooth.Muscle (0.3%),TotalProtein,4.249,0.00313,urine biomarker,liver
Others (0.2%),TotalProtein,6.361,0.0498,urine biomarker,liver
Atrial Cardiomyocyte (0.9%),Coronary Artery Disease,0,0.0267,heart-related,heart
Cytoplasm Cardiomyocyte (0.2%),Coronary Artery Disease,10,0.0561,heart-related,heart
Ventricle Cardiomyocyte (0.7%),Coronary Artery Disease,3.365,0.0165,heart-related,heart
Pericyte (0.2%),Coronary Artery Disease,0.184,0.167,heart-related,heart
Smooth.Muscle (0.3%),Coronary Artery Disease,0.433,0.0808,heart-related,heart
Others (0.3%),Coronary Artery Disease,3.52,0.0549,heart-related,heart
Atrial Cardiomyocyte (0.9%),ECG rate,4.886,8.34E-05,heart-related,heart
Cytoplasm Cardiomyocyte (0.2%),ECG rate,10,0.0015,heart-related,heart
Ventricle Cardiomyocyte (0.7%),ECG rate,1.602,0.0114,heart-related,heart
Pericyte (0.2%),ECG rate,0,0.202,heart-related,heart
Smooth.Muscle (0.3%),ECG rate,3.378,0.027,heart-related,heart
Others (0.3%),ECG rate,1.429,0.117,heart-related,heart
Atrial Cardiomyocyte (0.9%),Atrial Fibrillation,5.637,3.21E-09,heart-related,heart
Cytoplasm Cardiomyocyte (0.2%),Atrial Fibrillation,10,0.0226,heart-related,heart
Ventricle Cardiomyocyte (0.7%),Atrial Fibrillation,2.046,1.44E-05,heart-related,heart
Pericyte (0.2%),Atrial Fibrillation,0,0.276,heart-related,heart
Smooth.Muscle (0.3%),Atrial Fibrillation,0,0.00989,heart-related,heart
Others (0.3%),Atrial Fibrillation,1.424,0.0683,heart-related,heart
Atrial Cardiomyocyte (0.9%),Systolic bp,0.296,0.000549,heart-related,heart
Cytoplasm Cardiomyocyte (0.2%),Systolic bp,2.261,0.0691,heart-related,heart
Ventricle Cardiomyocyte (0.7%),Systolic bp,0.309,0.00146,heart-related,heart
Pericyte (0.2%),Systolic bp,6.949,0.000111,heart-related,heart
Smooth.Muscle (0.3%),Systolic bp,2.592,3.74E-05,heart-related,heart
Others (0.3%),Systolic bp,1.046,0.00326,heart-related,heart
Atrial Cardiomyocyte (0.9%),Diastolic bp,0.637,6.79E-06,heart-related,heart
Cytoplasm Cardiomyocyte (0.2%),Diastolic bp,2.246,0.0212,heart-related,heart
Ventricle Cardiomyocyte (0.7%),Diastolic bp,0.058,0.000221,heart-related,heart
Pericyte (0.2%),Diastolic bp,6.5,0.000175,heart-related,heart
Smooth.Muscle (0.3%),Diastolic bp,3.41,2.95E-06,heart-related,heart
Others (0.3%),Diastolic bp,1.012,0.00187,heart-related,heart
Tcells (0.3%),Lung capacity,0,0.456,lung-related,lung
Dendritic cells (0.2%),Lung capacity,0,0.412,lung-related,lung
Monocytes (0.4%),Lung capacity,0,0.264,lung-related,lung
Lymphatic (0.4%),Lung capacity,3.026,0.00299,lung-related,lung
Mesothelial (0.3%),Lung capacity,3.617,0.00366,lung-related,lung
AT2 (1.2%),Lung capacity,1.686,0.00126,lung-related,lung
Fibroblasts (0.5%),Lung capacity,5.725,0.000295,lung-related,lung
Smooth.Muscle (0.3%),Lung capacity,7.266,0.000309,lung-related,lung
Tcells (0.3%),Asthma,10,0.000204,lung-related,lung
Dendritic cells (0.2%),Asthma,10,0.0047,lung-related,lung
Monocytes (0.4%),Asthma,10,0.00885,lung-related,lung
Lymphatic (0.4%),Asthma,0,0.592,lung-related,lung
Mesothelial (0.3%),Asthma,0,0.769,lung-related,lung
AT2 (1.2%),Asthma,0,0.937,lung-related,lung
Fibroblasts (0.5%),Asthma,0,0.867,lung-related,lung
Smooth.Muscle (0.3%),Asthma,0,0.653,lung-related,lung
Tcells (0.3%),Lung capacity,0.08,0.06,lung-related,lung (immune enhancer)
Dendritic cells (0.2%),Lung capacity,0.64,0.03,lung-related,lung (immune enhancer)
Monocytes (0.4%),Lung capacity,0,1,lung-related,lung (immune enhancer)
Lymphatic (0.4%),Lung capacity,1.42,0.004,lung-related,lung (immune enhancer)
Mesothelial (0.3%),Lung capacity,0.87,3.00E-04,lung-related,lung (immune enhancer)
AT2 (1.2%),Lung capacity,1,1.00E-04,lung-related,lung (immune enhancer)
Fibroblasts (0.5%),Lung capacity,1.89,4.90E-06,lung-related,lung (immune enhancer)
Smooth.Muscle (0.3%),Lung capacity,3.4,9.10E-06,lung-related,lung (immune enhancer)
Tcells (0.3%),Asthma,4.5,4.30E-08,lung-related,lung (immune enhancer)
Dendritic cells (0.2%),Asthma,5.5,5.40E-08,lung-related,lung (immune enhancer)
Monocytes (0.4%),Asthma,1.7,1.10E-06,lung-related,lung (immune enhancer)
Lymphatic (0.4%),Asthma,1.3,4.20E-06,lung-related,lung (immune enhancer)
Mesothelial (0.3%),Asthma,0,1,lung-related,lung (immune enhancer)
AT2 (1.2%),Asthma,1.1,6.50E-08,lung-related,lung (immune enhancer)
Fibroblasts (0.5%),Asthma,1.9,1.50E-05,lung-related,lung (immune enhancer)
Smooth.Muscle (0.3%),Asthma,0,1,lung-related,lung (immune enhancer)
Bcells (1.0%),Inflammatory Bowel Disease,5.919,1.82E-05,colon-related,colon
Tcells (0.4%),Inflammatory Bowel Disease,10,7.47E-05,colon-related,colon
Dendritic cells (1.1%),Inflammatory Bowel Disease,8.524,2.86E-07,colon-related,colon
Monocytes (0.9%),Inflammatory Bowel Disease,5.284,4.70E-06,colon-related,colon
Macrophage (1.0%),Inflammatory Bowel Disease,5.885,1.16E-07,colon-related,colon
Endothelial (0.9%),Inflammatory Bowel Disease,2.872,0.00154,colon-related,colon
Enteroendocrine (0.4%),Inflammatory Bowel Disease,2.082,0.000187,colon-related,colon
Fibroblast (1.2%),Inflammatory Bowel Disease,1.236,0.000842,colon-related,colon
Mcells (0.4%),Inflammatory Bowel Disease,0,1.00E+00,colon-related,colon
Others (0.6%),Inflammatory Bowel Disease,1.009,0.00702,colon-related,colon
Bcells (1.0%),Crohns Disease,8.074,0.0019,colon-related,colon
Tcells (0.4%),Crohns Disease,10,0.0227,colon-related,colon
Dendritic cells (1.1%),Crohns Disease,9.027,0.000522,colon-related,colon
Monocytes (0.9%),Crohns Disease,4.221,0.00156,colon-related,colon
Macrophage (1.0%),Crohns Disease,5.141,4.97E-05,colon-related,colon
Endothelial (0.9%),Crohns Disease,5.447,0.0241,colon-related,colon
Enteroendocrine (0.4%),Crohns Disease,0.451,0.0128,colon-related,colon
Fibroblast (1.2%),Crohns Disease,5.075,0.00354,colon-related,colon
Mcells (0.4%),Crohns Disease,0,1,colon-related,colon
Others (0.6%),Crohns Disease,1.27,0.0614,colon-related,colon
Bcells (1.0%),Ulcerative colitis,1.802,0.0196,colon-related,colon
Tcells (0.4%),Ulcerative colitis,9.736,0.000408,colon-related,colon
Dendritic cells (1.1%),Ulcerative colitis,4.475,0.000622,colon-related,colon
Monocytes (0.9%),Ulcerative colitis,1.582,0.0179,colon-related,colon
Macrophage (1.0%),Ulcerative colitis,4.044,0.00116,colon-related,colon
Endothelial (0.9%),Ulcerative colitis,3.64,0.0224,colon-related,colon
Enteroendocrine (0.4%),Ulcerative colitis,6.753,0.00283,colon-related,colon
Fibroblast (1.2%),Ulcerative colitis,1.13,0.0253,colon-related,colon
Mcells (0.4%),Ulcerative colitis,0,1,colon-related,colon
Others (0.6%),Ulcerative colitis,0.988,0.0466,colon-related,colon
Bcells (1.0%),Celiac,9.701,0.000203,colon-related,colon
Tcells (0.4%),Celiac,10,0.000309,colon-related,colon
Dendritic cells (1.1%),Celiac,7.901,3.29E-05,colon-related,colon
Monocytes (0.9%),Celiac,8.232,0.000114,colon-related,colon
Macrophage (1.0%),Celiac,7.668,0.000177,colon-related,colon
Endothelial (0.9%),Celiac,4.198,0.0208,colon-related,colon
Enteroendocrine (0.4%),Celiac,0,0.925,colon-related,colon
Fibroblast (1.2%),Celiac,0,0.055,colon-related,colon
Mcells (0.4%),Celiac,0,1,colon-related,colon
Others (0.6%),Celiac,1.489,0.178,colon-related,colon
Bcells (1.0%),WHRadjBMI,0.965,0.00438,colon-related,colon
Tcells (0.4%),WHRadjBMI,0,0.991,colon-related,colon
Dendritic cells (1.1%),WHRadjBMI,0.062,0.11,colon-related,colon
Monocytes (0.9%),WHRadjBMI,0.19,0.195,colon-related,colon
Macrophage (1.0%),WHRadjBMI,1.288,0.0474,colon-related,colon
Endothelial (0.9%),WHRadjBMI,0.962,0.0293,colon-related,colon
Enteroendocrine (0.4%),WHRadjBMI,0,0.0537,colon-related,colon
Fibroblast (1.2%),WHRadjBMI,2.653,0.000259,colon-related,colon
Mcells (0.4%),WHRadjBMI,0,1,colon-related,colon
Others (0.6%),WHRadjBMI,0.025,0.152,colon-related,colon
Bcells (1.0%),Inflammatory Bowel Disease,3.763,2.60E-08,colon-related,colon (immune enhancer)
Tcells (0.4%),Inflammatory Bowel Disease,4.9,2.20E-09,colon-related,colon (immune enhancer)
Dendritic cells (1.1%),Inflammatory Bowel Disease,5.49,2.10E-11,colon-related,colon (immune enhancer)
Monocytes (0.9%),Inflammatory Bowel Disease,3.7,2.97E-10,colon-related,colon (immune enhancer)
Macrophage (1.0%),Inflammatory Bowel Disease,4.85,2.10E-11,colon-related,colon (immune enhancer)
Endothelial (0.9%),Inflammatory Bowel Disease,2.2,1.10E-05,colon-related,colon (immune enhancer)
Enteroendocrine (0.4%),Inflammatory Bowel Disease,3.88,4.80E-05,colon-related,colon (immune enhancer)
Fibroblast (1.2%),Inflammatory Bowel Disease,3.66,1.40E-06,colon-related,colon (immune enhancer)
Mcells (0.4%),Inflammatory Bowel Disease,0,1.00E+00,colon-related,colon (immune enhancer)
Others (0.6%),Inflammatory Bowel Disease,2.362,0.002,colon-related,colon (immune enhancer)
Bcells (1.0%),Crohns Disease,4.72,6.60E-06,colon-related,colon (immune enhancer)
Tcells (0.4%),Crohns Disease,4.01,5.20E-05,colon-related,colon (immune enhancer)
Dendritic cells (1.1%),Crohns Disease,5.35,8.20E-07,colon-related,colon (immune enhancer)
Monocytes (0.9%),Crohns Disease,2.2,1.20E-05,colon-related,colon (immune enhancer)
Macrophage (1.0%),Crohns Disease,3.32,8.90E-07,colon-related,colon (immune enhancer)
Endothelial (0.9%),Crohns Disease,4.31,0.002,colon-related,colon (immune enhancer)
Enteroendocrine (0.4%),Crohns Disease,2.38,0.005,colon-related,colon (immune enhancer)
Fibroblast (1.2%),Crohns Disease,7.16,1.00E-04,colon-related,colon (immune enhancer)
Mcells (0.4%),Crohns Disease,0,1,colon-related,colon (immune enhancer)
Others (0.6%),Crohns Disease,1.56,0.002,colon-related,colon (immune enhancer)
Bcells (1.0%),Ulcerative colitis,0.32,0.001,colon-related,colon (immune enhancer)
Tcells (0.4%),Ulcerative colitis,1.38,3.10E-04,colon-related,colon (immune enhancer)
Dendritic cells (1.1%),Ulcerative colitis,1.33,1.10E-04,colon-related,colon (immune enhancer)
Monocytes (0.9%),Ulcerative colitis,0,1,colon-related,colon (immune enhancer)
Macrophage (1.0%),Ulcerative colitis,2.68,2.00E-04,colon-related,colon (immune enhancer)
Endothelial (0.9%),Ulcerative colitis,0,1,colon-related,colon (immune enhancer)
Enteroendocrine (0.4%),Ulcerative colitis,3.84,0.01,colon-related,colon (immune enhancer)
Fibroblast (1.2%),Ulcerative colitis,0.69,0.06,colon-related,colon (immune enhancer)
Mcells (0.4%),Ulcerative colitis,0,1,colon-related,colon (immune enhancer)
Others (0.6%),Ulcerative colitis,0.856,0.0356,colon-related,colon (immune enhancer)
Bcells (1.0%),Celiac,5.6,4.00E-06,colon-related,colon (immune enhancer)
Tcells (0.4%),Celiac,10.4,2.20E-06,colon-related,colon (immune enhancer)
Dendritic cells (1.1%),Celiac,1.5,1.20E-05,colon-related,colon (immune enhancer)
Monocytes (0.9%),Celiac,3.56,6.40E-05,colon-related,colon (immune enhancer)
Macrophage (1.0%),Celiac,1.79,1.20E-05,colon-related,colon (immune enhancer)
Endothelial (0.9%),Celiac,2.1,0.001,colon-related,colon (immune enhancer)
Enteroendocrine (0.4%),Celiac,0,1,colon-related,colon (immune enhancer)
Fibroblast (1.2%),Celiac,0,1,colon-related,colon (immune enhancer)
Mcells (0.4%),Celiac,0,1,colon-related,colon (immune enhancer)
Others (0.6%),Celiac,1.675,0.288,colon-related,colon (immune enhancer)
Bcells (1.0%),WHRadjBMI,1.349,0.075,colon-related,colon (immune enhancer)
Tcells (0.4%),WHRadjBMI,0,1,colon-related,colon (immune enhancer)
Dendritic cells (1.1%),WHRadjBMI,0.83,0.25,colon-related,colon (immune enhancer)
Monocytes (0.9%),WHRadjBMI,0.596,0.534,colon-related,colon (immune enhancer)
Macrophage (1.0%),WHRadjBMI,1.59,0.08,colon-related,colon (immune enhancer)
Endothelial (0.9%),WHRadjBMI,2.13,0.03,colon-related,colon (immune enhancer)
Enteroendocrine (0.4%),WHRadjBMI,0.385,0.72,colon-related,colon (immune enhancer)
Fibroblast (1.2%),WHRadjBMI,2.66,0.01,colon-related,colon (immune enhancer)
Mcells (0.4%),WHRadjBMI,0,1,colon-related,colon (immune enhancer)
Others (0.6%),WHRadjBMI,0.06,0.28,colon-related,colon (immune enhancer)
Langerhans (0.5%),Eczema,3.781,0.00447,skin-related,skin
Others (0.6%),Eczema,0,0.0864,skin-related,skin
Langerhans (0.5%),Pigment.Sunburn,0,0.42,skin-related,skin
Others (0.6%),Pigment.Sunburn,0,0.305,skin-related,skin
Adipocyte (0.2%),Breast.Cancer,0,0.316,adipose-related,adipose
Fibroblast (0.9%),Breast.Cancer,0,0.203,adipose-related,adipose
Muscle (0.4%),Breast.Cancer,0,0.317,adipose-related,adipose
Others (0.2%),Breast.Cancer,0,0.421,adipose-related,adipose
Adipocyte (0.2%),BMI/WHR,9.561,0.00014,adipose-related,adipose
Fibroblast (0.9%),BMI/WHR,1.785,3.73E-07,adipose-related,adipose
Muscle (0.4%),BMI/WHR,4.509,0.000421,adipose-related,adipose
Others (0.2%),BMI/WHR,0,0.0553,adipose-related,adipose
Adipocyte (0.2%),T2D,0,0.0953,adipose-related,adipose
Fibroblast (0.9%),T2D,0,0.627,adipose-related,adipose
Muscle (0.4%),T2D,0,0.311,adipose-related,adipose
Others (0.2%),T2D,0,0.424,adipose-related,adipose
Adipocyte (0.2%),BMR,0,0.202,adipose-related,adipose
Fibroblast (0.9%),BMR,0,0.088,adipose-related,adipose
Muscle (0.4%),BMR,1.375,0.00418,adipose-related,adipose
Others (0.2%),BMR,0.293,0.111,adipose-related,adipose
Adipocyte (0.2%),Cholesterol,0,0.0371,adipose-related,adipose
Fibroblast (0.9%),Cholesterol,0,0.137,adipose-related,adipose
Muscle (0.4%),Cholesterol,0,0.177,adipose-related,adipose
Others (0.2%),Cholesterol,0,0.261,adipose-related,adipose